institution_combo_group,academic_institution,position_group_rc,position_type,position_category,position_group_tenure,position_tenure,position_group_tenure_cat,position_percent_rcd,promoted,experience_rcd,experience_work,supervise_staff,supervise_student_workers,management_staff_role,position_hourly,position_fulltime,position_funding,onsite_remote,position_scope,education,education_related
R1 public,TRUE,FALSE,Staff,Director,15,9,10+,100,TRUE,24,39,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Not at all related
R1 private,TRUE,TRUE,Staff,Director,6,3,5-9,100,TRUE,12,13,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,College or School,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,1,1,<2,100,FALSE,5,12,FALSE,FALSE,FALSE,FALSE,TRUE,I don't know,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Manager,10,3,10+,100,TRUE,10,11,TRUE,TRUE,TRUE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,Multiple Institutions,Master's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,4,2,2-4,100,TRUE,28,34,TRUE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Very related
R1 public,TRUE,TRUE,Staff,Lead/principal individual contributor,14,1,10+,100,TRUE,20,26,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,National,Master's Degree,Extremely related
Medical,FALSE,FALSE,Staff,Lead/principal individual contributor,5,2,5-9,100,TRUE,16,36,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Very related
R1 public,TRUE,FALSE,Faculty,Faculty,10,3,10+,75,TRUE,10,10,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Extremely related
R1 private,TRUE,TRUE,"Other Academic (incl. Research Faculty, Postdocs)",Lead/principal individual contributor,9,9,5-9,100,FALSE,9,13,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Very related
R1 public,TRUE,TRUE,Staff,Individual contributor,4,4,2-4,100,FALSE,4,4,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Extremely related
NA,NA,NA,NA,Other/Unknown,NA,NA,NA,NA,NA,13,13,NA,NA,FALSE,NA,NA,NA,NA,NA,PhD or Doctorate,Extremely related
R1 public,TRUE,FALSE,Staff,Director,1,1,<2,100,TRUE,1,24,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Very related
R1 private,TRUE,TRUE,Staff,Lead/principal individual contributor,10,3,10+,100,TRUE,10,20,TRUE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),Remotely,Multiple Institutions,Master's Degree,Very related
Medical,FALSE,TRUE,Staff,Manager,9,5,5-9,100,TRUE,17,20,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,College or School,PhD or Doctorate,Moderately related
R1 public,TRUE,TRUE,Staff,Senior individual contributor,15,15,10+,100,TRUE,20,25,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,9,1,5-9,100,FALSE,2,10,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,3,3,2-4,100,FALSE,3,14,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Moderately related
R1 private,TRUE,FALSE,Staff,Individual contributor,20,20,10+,100,FALSE,20,30,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Department,PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,1,1,<2,100,FALSE,1,4,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Very related
NA,NA,NA,NA,Individual contributor,2,2,2-4,70,FALSE,5,10,FALSE,TRUE,FALSE,FALSE,TRUE,NA,A combination of remotely and on-site,National,Bachelor's Degree,Moderately related
R1 public,TRUE,TRUE,Staff,Manager,20,1,10+,100,TRUE,20,30,FALSE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Extremely related
R1 private,TRUE,FALSE,Staff,Individual contributor,1,1,<2,100,FALSE,1,9,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Slightly related
Other,FALSE,FALSE,NA,Manager,10,2,10+,20,TRUE,20,25,TRUE,TRUE,TRUE,FALSE,TRUE,NA,A combination of remotely and on-site,National,Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,22,8,10+,100,TRUE,38,47,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,National,Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,1,1,<2,80,FALSE,5,14,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,Multiple Institutions,Master's Degree,Extremely related
R1 public,TRUE,TRUE,Staff,Senior individual contributor,15,3,10+,100,TRUE,15,25,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),Remotely,"University, Company, or Institution",Bachelor's Degree,Slightly related
R1 public,TRUE,FALSE,Student position / internship,Student position / internship,1,1,<2,100,FALSE,1,10,FALSE,FALSE,FALSE,TRUE,FALSE,Hard funding (university core funds),Remotely,Multiple Institutions,Master's Degree,Extremely related
R1 public,TRUE,TRUE,Staff,Manager,6,2,5-9,100,TRUE,6,15,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Moderately related
R1 private,TRUE,FALSE,Staff,Individual contributor,1,1,<2,100,TRUE,5,20,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Moderately related
Other Academic private,TRUE,FALSE,Staff,Lead/principal individual contributor,32,12,10+,75,FALSE,32,40,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,National,Master's Degree,Very related
R1 public,TRUE,TRUE,Staff,Individual contributor,1,1,<2,100,FALSE,1,40,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Director,27,5,10+,20,TRUE,25,27,TRUE,TRUE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,National,Master's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Manager,23,13,10+,90,TRUE,23,23,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Not at all related
R1 private,TRUE,FALSE,Faculty,Faculty,8,3,5-9,40,TRUE,3,15,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Individual contributor,4,1,2-4,30,TRUE,4,12,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,Master's Degree,Very related
R1 private,TRUE,TRUE,Staff,Lead/principal individual contributor,6,1,5-9,100,TRUE,6,13,FALSE,FALSE,FALSE,FALSE,TRUE,I don't know,A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Director,11,11,10+,30,FALSE,11,44,TRUE,FALSE,TRUE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Very related
R1 public,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,2,2,2-4,100,FALSE,2,3,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),Remotely,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 private,TRUE,FALSE,Staff,Individual contributor,4,2,2-4,80,FALSE,14,14,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Student position / internship,Student position / internship,1,NA,<2,20,FALSE,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,Bachelor's Degree,Very related
R1 public,TRUE,NA,Staff,Senior individual contributor,2,2,2-4,100,FALSE,10,18,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Extremely related
NA,NA,NA,NA,Individual contributor,4,4,2-4,100,TRUE,4,4,FALSE,FALSE,FALSE,FALSE,TRUE,NA,A combination of remotely and on-site,Multiple Institutions,Bachelor's Degree,Very related
R1 private,TRUE,TRUE,Staff,Senior individual contributor,0,58,<2,90,FALSE,5,13,FALSE,TRUE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,Multiple Institutions,Master's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,1,NA,<2,75,FALSE,5,40,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),Remotely,"University, Company, or Institution",Master's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,2,2,2-4,100,TRUE,15,15,FALSE,TRUE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,"University, Company, or Institution",Master's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Individual contributor,2,1,2-4,80,TRUE,2,10,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,National,Master's Degree,Very related
Other Academic private,TRUE,FALSE,Staff,Director,14,9,10+,5,TRUE,14,20,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 private,TRUE,TRUE,Staff,Individual contributor,1,1,<2,100,FALSE,1,35,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),Remotely,"University, Company, or Institution",Master's Degree,Slightly related
Other,FALSE,FALSE,NA,Lead/principal individual contributor,12,12,10+,100,FALSE,20,20,FALSE,FALSE,FALSE,FALSE,TRUE,NA,On-site at my employer,"University, Company, or Institution",Master's Degree,Very related
R1 public,TRUE,TRUE,Staff,Manager,5,1,5-9,100,TRUE,5,29,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,National,Bachelor's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,8,8,5-9,100,FALSE,8,41,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Individual contributor,13,9,10+,90,TRUE,13,18,TRUE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,Center or Institute,Master's Degree,Moderately related
Medical,FALSE,FALSE,Staff,Senior individual contributor,20,15,10+,30,TRUE,30,30,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Very related
R1 private,TRUE,FALSE,Staff,Senior individual contributor,2,2,2-4,100,FALSE,20,25,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",No Bachelor's Degree,Not at all related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,25,25,10+,40,TRUE,25,25,TRUE,TRUE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,Department,Master's Degree,Very related
R1 private,TRUE,TRUE,Staff,Director,8,0,5-9,95,TRUE,8,11,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Slightly related
R1 private,TRUE,FALSE,Staff,Senior individual contributor,3,2,2-4,100,TRUE,3,21,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,Staff,Manager,10,3,10+,100,TRUE,10,19,TRUE,FALSE,TRUE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 private,TRUE,FALSE,Staff,Director,1,1,<2,30,FALSE,6,30,TRUE,TRUE,TRUE,FALSE,TRUE,Mixture,A combination of remotely and on-site,Multiple Institutions,Master's Degree,Very related
R1 private,TRUE,FALSE,Staff,Individual contributor,2,2,2-4,100,FALSE,14,18,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 private,TRUE,TRUE,Staff,Senior individual contributor,8,2,5-9,100,TRUE,19,21,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Slightly related
R1 private,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,21,1,10+,100,TRUE,37,50,TRUE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,National,PhD or Doctorate,Extremely related
R1 private,TRUE,TRUE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,12,6,10+,100,TRUE,46,46,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 public,TRUE,FALSE,Staff,Director,16,5,10+,100,TRUE,29,33,TRUE,FALSE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,PhD or Doctorate,Extremely related
R1 private,TRUE,FALSE,Staff,Individual contributor,2,2,2-4,100,FALSE,2,5,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Extremely related
R1 private,TRUE,TRUE,Staff,Lead/principal individual contributor,6,10,5-9,70,FALSE,6,24,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,2,2,2-4,80,FALSE,2,12,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,2,2,2-4,100,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,Staff,Individual contributor,9,4,5-9,60,TRUE,9,19,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Department,PhD or Doctorate,Moderately related
Academic Computing Center,TRUE,FALSE,Staff,Individual contributor,1,1,<2,80,FALSE,1,6,FALSE,TRUE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,Multiple Institutions,No Bachelor's Degree,Not at all related
R1 public,TRUE,FALSE,Staff,Individual contributor,2,10,<2,100,FALSE,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),Remotely,"University, Company, or Institution",Master's Degree,Not at all related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,2,2,2-4,100,FALSE,7,13,FALSE,TRUE,FALSE,FALSE,TRUE,I don't know,Remotely,"University, Company, or Institution",Bachelor's Degree,Moderately related
NA,NA,NA,Staff,Senior individual contributor,6,6,5-9,100,FALSE,15,25,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
R2 public,TRUE,FALSE,Staff,Senior individual contributor,7,3,5-9,30,TRUE,2,14,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",No Bachelor's Degree,Very related
R1 public,TRUE,FALSE,Staff,Director,1,1,<2,100,FALSE,20,23,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Individual contributor,2,2,2-4,90,FALSE,2,8,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,Remotely,"University, Company, or Institution",Bachelor's Degree,Extremely related
Unknown,NA,NA,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,20,1,10+,50,TRUE,35,50,TRUE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,National,PhD or Doctorate,Extremely related
R1 public,TRUE,NA,Staff,Other/Unknown,1,1,<2,50,FALSE,1,5,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,6,6,5-9,75,FALSE,10,15,FALSE,TRUE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,"University, Company, or Institution",Master's Degree,Very related
R1 private,TRUE,FALSE,Staff,Individual contributor,2,2,2-4,90,FALSE,15,NA,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,3,NA,2-4,50,FALSE,22,27,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,Remotely,Center or Institute,Bachelor's Degree,Very related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,23,NA,10+,100,TRUE,23,33,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,PhD or Doctorate,Very related
Medical,FALSE,FALSE,Staff,Manager,13,1,10+,90,TRUE,13,23,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Research Group,Master's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,4,4,2-4,75,FALSE,6,18,TRUE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Not at all related
R1 private,TRUE,TRUE,Staff,Individual contributor,2,2,2-4,100,FALSE,5,7,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 public,TRUE,FALSE,Staff,Manager,15,11,10+,100,FALSE,15,32,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Not at all related
Other Academic private,TRUE,FALSE,Faculty,Faculty,20,20,10+,10,FALSE,30,30,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,PhD or Doctorate,Extremely related
Academic Computing Center,TRUE,FALSE,Staff,Individual contributor,0,0,<2,100,FALSE,8,10,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,Remotely,Multiple Institutions,PhD or Doctorate,Very related
R2 private,TRUE,TRUE,Staff,Director,15,9,10+,100,TRUE,15,15,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,Bachelor's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Director,8,2,5-9,100,TRUE,8,13,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,PhD or Doctorate,Extremely related
R1 private,TRUE,FALSE,Staff,Individual contributor,1,1,<2,90,FALSE,1,5,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Multiple Institutions,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Manager,10,2,10+,80,TRUE,31,33,TRUE,TRUE,TRUE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,Multiple Institutions,PhD or Doctorate,Extremely related
Other,FALSE,FALSE,Staff,Senior individual contributor,1,7,<2,100,FALSE,11,14,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,National,Bachelor's Degree,Extremely related
Other Academic private,TRUE,FALSE,Faculty,Faculty,5,5,5-9,30,TRUE,20,34,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,National,PhD or Doctorate,Extremely related
Academic Computing Center,TRUE,FALSE,NA,Individual contributor,2,2,2-4,100,FALSE,2,9,FALSE,TRUE,FALSE,FALSE,TRUE,NA,On-site at my employer,Center or Institute,Bachelor's Degree,Very related
R1 public,TRUE,TRUE,Staff,Senior individual contributor,1,1,<2,100,FALSE,1,11,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Director,4,2,2-4,90,TRUE,7,8,TRUE,FALSE,TRUE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,Center or Institute,Master's Degree,Very related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,6,1,5-9,100,TRUE,10,16,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,College or School,Bachelor's Degree,Moderately related
R2 public,TRUE,TRUE,Staff,Individual contributor,1,6,<2,100,FALSE,1,16,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Very related
R1 private,TRUE,NA,Staff,Individual contributor,1,0,<2,75,FALSE,1,10,FALSE,TRUE,FALSE,TRUE,TRUE,Hard funding (university core funds),Remotely,"University, Company, or Institution",Bachelor's Degree,Moderately related
R1 private,TRUE,FALSE,Staff,Individual contributor,3,3,2-4,100,FALSE,3,3,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),Remotely,"University, Company, or Institution",Master's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,4,4,2-4,100,FALSE,14,14,TRUE,TRUE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Manager,12,5,10+,100,TRUE,14,14,TRUE,FALSE,TRUE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,Multiple Institutions,Master's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,9,9,5-9,40,FALSE,9,18,FALSE,FALSE,FALSE,FALSE,FALSE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,21,8,10+,100,TRUE,38,47,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,National,Bachelor's Degree,Slightly related
Medical,FALSE,TRUE,Staff,Manager,0,0,<2,100,FALSE,10,29,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Moderately related
Medical,FALSE,FALSE,Staff,Senior individual contributor,1,1,<2,90,FALSE,20,25,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,Remotely,"University, Company, or Institution",Bachelor's Degree,Slightly related
R1 private,TRUE,TRUE,Staff,Senior individual contributor,0,0,<2,100,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Very related
Other Academic public,TRUE,FALSE,Staff,Senior individual contributor,11,11,10+,70,TRUE,3,11,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,Remotely,"University, Company, or Institution",PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Individual contributor,3,3,2-4,100,FALSE,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
Medical,FALSE,TRUE,Staff,Senior individual contributor,2,10,<2,100,TRUE,21,46,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,Multiple Institutions,Bachelor's Degree,Slightly related
NA,NA,NA,Staff,Other/Unknown,NA,NA,NA,100,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,A combination of remotely and on-site,NA,PhD or Doctorate,Extremely related
R2 private,TRUE,TRUE,Staff,Individual contributor,3,3,2-4,70,FALSE,3,5,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",No Bachelor's Degree,Moderately related
R1 private,TRUE,TRUE,Staff,Manager,10,4,10+,100,TRUE,10,30,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Moderately related
R2 private,TRUE,FALSE,Staff,"AVP, VP, CIO, or other senior leader",17,10,10+,5,TRUE,17,17,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Very related
R1 public,TRUE,FALSE,Staff,Individual contributor,4,4,2-4,100,FALSE,4,9,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,PhD or Doctorate,Moderately related
R1 private,TRUE,TRUE,Staff,Senior individual contributor,6,10,5-9,80,FALSE,6,23,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Moderately related
R2 public,TRUE,TRUE,Staff,Lead/principal individual contributor,6,3,5-9,100,TRUE,6,2,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Moderately related
R1 private,TRUE,FALSE,Staff,Manager,5,5,5-9,80,TRUE,18,18,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,National,Bachelor's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Director,12,0,10+,30,TRUE,23,31,FALSE,FALSE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,PhD or Doctorate,Very related
R1 public,TRUE,TRUE,Staff,Director,7,3,5-9,80,TRUE,21,30,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Very related
Company,FALSE,FALSE,NA,Senior individual contributor,5,2,5-9,50,TRUE,5,10,FALSE,TRUE,FALSE,FALSE,TRUE,NA,A combination of remotely and on-site,Research Group,Master's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Individual contributor,1,1,<2,100,FALSE,1,15,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,Remotely,Multiple Institutions,Master's Degree,Slightly related
