satisfaction_position,rcd_satisfaction,rcd_opportunities,rcd_recommend,rcd_future,valued_peers,valued_manager,valued_researchers,valued_org,promoted,any_last_applied
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Strongly agree,Most of the time,Always,Most of the time,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,More than two years ago
Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat disagree,6,Somewhat disagree,NA,Most of the time,Sometimes,Sometimes,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Strongly disagree,7,Strongly disagree,Always,Always,Most of the time,NA,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat disagree,8,Neither agree nor disagree,About half the time,Most of the time,About half the time,Sometimes,FALSE,More than two years ago
Extremely satisfied,Somewhat satisfied,Strongly disagree,10,Strongly agree,Most of the time,Always,About half the time,About half the time,FALSE,1-2 years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,9,Somewhat agree,Always,NA,Most of the time,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Somewhat agree,Always,Always,Sometimes,Sometimes,TRUE,More than two years ago
Somewhat dissatisfied,Somewhat satisfied,Somewhat disagree,7,Somewhat disagree,Most of the time,Always,Always,Sometimes,TRUE,1-6 months ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Strongly agree,Always,Always,About half the time,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Strongly agree,NA,Always,Most of the time,Sometimes,FALSE,NA
Somewhat dissatisfied,Somewhat dissatisfied,Somewhat disagree,2,Strongly disagree,Always,About half the time,Always,About half the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,FALSE,NA
Extremely dissatisfied,Extremely dissatisfied,Strongly disagree,0,Strongly disagree,About half the time,NA,About half the time,NA,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Neither agree nor disagree,7,Somewhat agree,Sometimes,Sometimes,Most of the time,Never,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,8,Strongly disagree,Always,Always,NA,NA,TRUE,More than two years ago
Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat disagree,6,Somewhat agree,About half the time,Sometimes,Sometimes,Sometimes,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,7,Somewhat agree,About half the time,About half the time,Sometimes,Sometimes,FALSE,More than two years ago
Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat disagree,3,Neither agree nor disagree,About half the time,Most of the time,About half the time,Sometimes,FALSE,7-12 months ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,FALSE,NA
Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Strongly disagree,7,Somewhat disagree,Always,Most of the time,Always,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Always,Always,Most of the time,Most of the time,FALSE,More than two years ago
Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Always,Most of the time,About half the time,Never,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Extremely satisfied,Strongly agree,4,Strongly agree,NA,Always,Sometimes,Always,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Neither agree nor disagree,9,Strongly agree,Most of the time,Always,Most of the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Most of the time,Always,Always,Sometimes,TRUE,More than two years ago
Somewhat dissatisfied,Somewhat dissatisfied,Strongly disagree,4,Neither agree nor disagree,Most of the time,Sometimes,Always,Most of the time,TRUE,Within the last month
Somewhat dissatisfied,Somewhat dissatisfied,Somewhat agree,6,Neither agree nor disagree,Always,Always,Most of the time,NA,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,8,Somewhat agree,Most of the time,About half the time,About half the time,About half the time,FALSE,NA
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Always,Always,Always,Always,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,9,Somewhat disagree,Most of the time,Always,Always,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Most of the time,Sometimes,TRUE,More than two years ago
Extremely satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,About half the time,Always,Most of the time,Sometimes,TRUE,More than two years ago
Somewhat satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Always,Always,Always,Always,FALSE,More than two years ago
Somewhat dissatisfied,Somewhat dissatisfied,Somewhat disagree,5,Somewhat disagree,NA,Sometimes,Always,NA,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Always,Always,Always,Always,FALSE,1-6 months ago
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Somewhat agree,Always,Always,Most of the time,Most of the time,TRUE,More than two years ago
Somewhat dissatisfied,Somewhat satisfied,Somewhat disagree,7,Somewhat disagree,Most of the time,Sometimes,Always,Most of the time,TRUE,1-6 months ago
Somewhat satisfied,Extremely satisfied,Somewhat disagree,10,Somewhat agree,Always,Always,Always,Never,FALSE,7-12 months ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,9,Strongly agree,Always,Always,Most of the time,About half the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Neither agree nor disagree,Most of the time,Most of the time,NA,NA,FALSE,Within the last month
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Always,Always,Most of the time,Sometimes,FALSE,7-12 months ago
Extremely satisfied,Extremely satisfied,Somewhat agree,8,Somewhat agree,Sometimes,Always,Most of the time,Sometimes,FALSE,NA
Somewhat satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Always,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,TRUE,7-12 months ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,NA
Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat agree,6,Somewhat disagree,Sometimes,Never,Most of the time,About half the time,FALSE,Within the last month
Extremely satisfied,Extremely satisfied,Strongly agree,9,Somewhat agree,Most of the time,Always,Most of the time,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,NA,Always,FALSE,1-2 years ago
Somewhat satisfied,Somewhat satisfied,Strongly agree,7,Strongly agree,Most of the time,About half the time,Most of the time,Most of the time,TRUE,NA
Somewhat satisfied,Extremely satisfied,Somewhat agree,9,Somewhat agree,Most of the time,Always,About half the time,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,NA,Always,Always,Always,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,9,Somewhat agree,Sometimes,Most of the time,Sometimes,Never,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,6,Neither agree nor disagree,NA,NA,NA,NA,FALSE,1-6 months ago
Somewhat dissatisfied,Neither satisfied nor dissatisfied,Somewhat agree,2,Neither agree nor disagree,Sometimes,Always,Most of the time,Never,FALSE,1-2 years ago
Somewhat satisfied,Neither satisfied nor dissatisfied,Strongly agree,5,Strongly agree,Sometimes,Always,Sometimes,Sometimes,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Neither agree nor disagree,10,Strongly agree,Sometimes,Always,Most of the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,10,Neither agree nor disagree,Always,Always,Always,Sometimes,TRUE,1-6 months ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,9,Somewhat agree,Always,Always,Always,Always,FALSE,NA
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,8,Somewhat agree,Always,Always,Always,Most of the time,TRUE,More than two years ago
Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat disagree,8,Neither agree nor disagree,About half the time,Most of the time,Most of the time,About half the time,TRUE,7-12 months ago
Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,7,Neither agree nor disagree,Most of the time,About half the time,Most of the time,Sometimes,FALSE,1-6 months ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Strongly agree,Most of the time,Always,Always,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Strongly agree,8,Strongly agree,NA,Always,Always,Always,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Strongly agree,Always,Always,Always,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,9,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,NA
Somewhat dissatisfied,Somewhat dissatisfied,Somewhat agree,5,Neither agree nor disagree,Most of the time,Sometimes,Always,Sometimes,FALSE,1-6 months ago
Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat agree,6,Somewhat agree,About half the time,About half the time,About half the time,About half the time,FALSE,More than two years ago
Extremely satisfied,Somewhat satisfied,Strongly disagree,10,Neither agree nor disagree,Sometimes,Most of the time,About half the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,9,Strongly agree,Always,Always,Always,Always,FALSE,7-12 months ago
Somewhat satisfied,Somewhat satisfied,Strongly agree,8,Somewhat agree,Most of the time,Always,About half the time,About half the time,FALSE,NA
Somewhat satisfied,Somewhat satisfied,Strongly agree,7,Strongly agree,Sometimes,Most of the time,Sometimes,Sometimes,TRUE,NA
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,NA
Somewhat satisfied,Extremely satisfied,Somewhat agree,8,Somewhat agree,NA,Always,About half the time,NA,FALSE,1-2 years ago
Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat agree,6,Somewhat agree,Most of the time,Always,Most of the time,Sometimes,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Most of the time,Most of the time,TRUE,More than two years ago
Somewhat dissatisfied,Extremely satisfied,Somewhat agree,5,Strongly agree,NA,About half the time,Always,Sometimes,TRUE,More than two years ago
Somewhat dissatisfied,Somewhat satisfied,Strongly agree,8,Somewhat agree,Most of the time,Always,Most of the time,Most of the time,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,6,Neither agree nor disagree,Most of the time,Most of the time,About half the time,About half the time,TRUE,7-12 months ago
Extremely satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Always,Always,Always,Always,FALSE,1-2 years ago
Extremely satisfied,Somewhat satisfied,Somewhat agree,8,Strongly agree,Most of the time,Always,Most of the time,About half the time,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Somewhat agree,Most of the time,Always,Most of the time,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Most of the time,Always,Most of the time,Most of the time,FALSE,1-6 months ago
Somewhat satisfied,Somewhat satisfied,Strongly disagree,5,Somewhat disagree,Most of the time,Most of the time,About half the time,Sometimes,FALSE,7-12 months ago
Extremely dissatisfied,Somewhat dissatisfied,Somewhat agree,2,Neither agree nor disagree,NA,Sometimes,Sometimes,Never,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Strongly agree,8,Strongly agree,Most of the time,Always,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Most of the time,Most of the time,Most of the time,Sometimes,TRUE,More than two years ago
Somewhat dissatisfied,Somewhat satisfied,Neither agree nor disagree,4,Somewhat agree,Sometimes,Sometimes,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat disagree,8,Somewhat agree,Most of the time,Always,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,TRUE,More than two years ago
Somewhat dissatisfied,Somewhat dissatisfied,Somewhat disagree,4,Somewhat agree,Sometimes,Most of the time,NA,Sometimes,FALSE,1-6 months ago
Extremely satisfied,Somewhat satisfied,Somewhat agree,9,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,NA
Extremely dissatisfied,Somewhat dissatisfied,Neither agree nor disagree,5,Neither agree nor disagree,Always,Always,Always,NA,FALSE,1-6 months ago
Somewhat satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Never,Always,Always,Most of the time,FALSE,7-12 months ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,10,Somewhat agree,Always,About half the time,Always,Always,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat disagree,9,Somewhat agree,Most of the time,Most of the time,Most of the time,Sometimes,FALSE,More than two years ago
Somewhat dissatisfied,Somewhat dissatisfied,Strongly disagree,2,Somewhat disagree,NA,Sometimes,About half the time,Never,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Neither agree nor disagree,9,Strongly agree,Most of the time,Always,Always,Most of the time,FALSE,More than two years ago
Somewhat dissatisfied,Somewhat satisfied,Somewhat agree,6,Somewhat agree,Always,Always,Always,About half the time,FALSE,1-6 months ago
Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Strongly agree,5,Strongly agree,Most of the time,Sometimes,Sometimes,NA,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Strongly agree,6,Strongly agree,Most of the time,Always,Most of the time,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,7,Somewhat agree,Most of the time,Always,Most of the time,Always,FALSE,1-2 years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,FALSE,NA
Somewhat satisfied,Extremely satisfied,Somewhat agree,9,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,NA
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Strongly agree,Always,Always,Most of the time,Most of the time,TRUE,More than two years ago
Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat disagree,6,Neither agree nor disagree,Most of the time,Most of the time,Always,Sometimes,FALSE,NA
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Most of the time,Always,Always,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,9,Strongly agree,Always,Always,Always,Always,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Somewhat agree,Sometimes,Always,About half the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,10,Strongly agree,Sometimes,Most of the time,Always,Sometimes,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,9,Somewhat agree,Most of the time,Most of the time,Most of the time,About half the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Always,Always,Most of the time,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Neither agree nor disagree,10,Strongly agree,Most of the time,Always,Most of the time,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,9,Neither agree nor disagree,Never,Most of the time,Sometimes,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Strongly agree,10,Somewhat agree,Always,Always,Most of the time,About half the time,FALSE,More than two years ago
Extremely satisfied,Somewhat satisfied,Somewhat agree,8,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,1-2 years ago
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,6,Somewhat disagree,Always,Always,Always,Always,TRUE,7-12 months ago
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,6,Somewhat agree,Always,Always,Most of the time,Most of the time,TRUE,1-2 years ago
Extremely satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,NA
Somewhat satisfied,Extremely satisfied,Somewhat disagree,9,Neither agree nor disagree,Always,Always,Always,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Strongly agree,Always,Always,Always,About half the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,9,Somewhat agree,Sometimes,Most of the time,Sometimes,Most of the time,TRUE,More than two years ago
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Extremely satisfied,Somewhat satisfied,Strongly disagree,8,Neither agree nor disagree,Most of the time,Always,Most of the time,Always,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,8,Somewhat agree,Most of the time,About half the time,Most of the time,Sometimes,TRUE,1-6 months ago
Somewhat dissatisfied,Somewhat dissatisfied,Somewhat disagree,4,Somewhat disagree,Most of the time,Most of the time,About half the time,Sometimes,TRUE,Within the last month
Somewhat satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Always,Most of the time,Always,Always,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Neither agree nor disagree,10,Neither agree nor disagree,Always,Always,Always,Sometimes,TRUE,7-12 months ago
Extremely satisfied,Extremely satisfied,Strongly disagree,9,Strongly disagree,Always,Always,Always,Always,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,9,Somewhat agree,About half the time,Most of the time,About half the time,Most of the time,FALSE,NA
Somewhat satisfied,Somewhat satisfied,Strongly agree,7,Strongly agree,Always,Always,Most of the time,Always,FALSE,1-6 months ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,7,Somewhat agree,Most of the time,Most of the time,Most of the time,About half the time,TRUE,More than two years ago
Somewhat dissatisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,About half the time,Sometimes,Always,Always,TRUE,More than two years ago
Extremely satisfied,Somewhat satisfied,Strongly agree,10,Somewhat agree,Most of the time,Always,Most of the time,About half the time,TRUE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat disagree,10,Strongly agree,Always,Always,Most of the time,About half the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,9,Somewhat agree,NA,Always,Always,NA,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Strongly agree,Most of the time,Always,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Sometimes,Always,Always,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,8,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,10,Strongly disagree,Always,Most of the time,Always,NA,TRUE,NA
Somewhat satisfied,Extremely satisfied,Somewhat agree,8,Somewhat agree,Always,Always,Always,Always,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Strongly agree,9,Somewhat agree,Most of the time,Most of the time,About half the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Always,Always,Always,Most of the time,FALSE,More than two years ago
Extremely satisfied,Somewhat satisfied,Somewhat disagree,9,Neither agree nor disagree,Sometimes,Most of the time,NA,Most of the time,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,3,Somewhat agree,Always,Always,Most of the time,Always,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Always,Always,About half the time,Most of the time,FALSE,NA
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,FALSE,NA
Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat disagree,1,Somewhat disagree,Most of the time,Most of the time,Sometimes,Never,FALSE,Within the last month
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,9,Neither agree nor disagree,Sometimes,Most of the time,Most of the time,Sometimes,FALSE,NA
Somewhat dissatisfied,Somewhat satisfied,Somewhat agree,5,Somewhat agree,Always,Never,Most of the time,Sometimes,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Sometimes,About half the time,Most of the time,Never,TRUE,More than two years ago
Somewhat dissatisfied,Neither satisfied nor dissatisfied,Strongly agree,4,Strongly agree,NA,NA,NA,NA,FALSE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,6,Somewhat agree,Sometimes,Never,Sometimes,Never,TRUE,1-2 years ago
NA,Extremely satisfied,Somewhat agree,8,Strongly agree,NA,NA,NA,NA,FALSE,1-2 years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Most of the time,Most of the time,Always,Sometimes,FALSE,NA
Somewhat satisfied,Somewhat satisfied,Strongly agree,6,Somewhat agree,Always,Sometimes,Always,About half the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,7,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,FALSE,NA
Somewhat satisfied,Extremely satisfied,Strongly agree,10,Somewhat agree,Most of the time,Most of the time,NA,Always,TRUE,NA
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Strongly agree,Always,Always,Always,Always,FALSE,More than two years ago
Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat disagree,7,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Sometimes,Most of the time,Always,About half the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,0,Strongly agree,Most of the time,Most of the time,Most of the time,Sometimes,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Somewhat agree,7,Somewhat agree,Sometimes,Sometimes,Sometimes,Most of the time,TRUE,1-6 months ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Strongly agree,Always,Always,Always,Most of the time,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,9,Strongly agree,Always,Always,Most of the time,Most of the time,FALSE,1-2 years ago
Somewhat dissatisfied,Somewhat satisfied,Strongly agree,7,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,1-6 months ago
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Always,Always,Always,Always,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Somewhat agree,Always,Always,Always,Always,FALSE,NA
Extremely satisfied,Extremely satisfied,Somewhat agree,9,Strongly agree,Most of the time,Always,NA,NA,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Always,Always,Always,Always,TRUE,More than two years ago
Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat disagree,5,Neither agree nor disagree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Neither agree nor disagree,Most of the time,Always,Most of the time,Most of the time,FALSE,NA
Somewhat satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Most of the time,Most of the time,About half the time,About half the time,FALSE,NA
Somewhat satisfied,Extremely satisfied,Somewhat agree,8,Strongly agree,NA,Most of the time,About half the time,Most of the time,FALSE,NA
Somewhat satisfied,Extremely satisfied,Neither agree nor disagree,8,Somewhat agree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,NA
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Strongly agree,Always,Always,Always,Most of the time,FALSE,NA
Somewhat satisfied,Somewhat satisfied,Strongly disagree,7,Strongly disagree,Most of the time,Always,Most of the time,Most of the time,TRUE,More than two years ago
Somewhat satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Most of the time,Always,TRUE,NA
Extremely satisfied,Somewhat satisfied,Somewhat agree,9,Somewhat agree,About half the time,Always,Always,Always,TRUE,More than two years ago
Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Most of the time,Always,Most of the time,About half the time,FALSE,More than two years ago
Somewhat satisfied,Extremely satisfied,Neither agree nor disagree,9,Somewhat agree,About half the time,Most of the time,Most of the time,About half the time,FALSE,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat disagree,8,Neither agree nor disagree,Most of the time,Most of the time,Most of the time,Most of the time,TRUE,More than two years ago
Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat agree,9,Strongly agree,About half the time,Sometimes,Always,Never,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Strongly agree,10,Strongly agree,Always,Always,Always,Always,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,9,Somewhat agree,Most of the time,Always,Most of the time,Most of the time,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,8,Neither agree nor disagree,About half the time,Most of the time,Most of the time,Most of the time,FALSE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat disagree,10,Strongly agree,Always,Most of the time,Always,Most of the time,FALSE,NA
Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat disagree,2,Somewhat disagree,Sometimes,Sometimes,Sometimes,Never,FALSE,7-12 months ago
Somewhat satisfied,Somewhat dissatisfied,Neither agree nor disagree,4,Somewhat agree,NA,Sometimes,Sometimes,Sometimes,FALSE,1-2 years ago
Somewhat satisfied,Somewhat satisfied,Somewhat agree,7,Somewhat agree,Most of the time,Most of the time,Always,About half the time,TRUE,NA
Neither satisfied nor dissatisfied,Somewhat satisfied,Neither agree nor disagree,6,Neither agree nor disagree,About half the time,Sometimes,About half the time,NA,TRUE,NA
Extremely satisfied,Extremely satisfied,Strongly agree,9,Strongly agree,Always,Always,Most of the time,Always,FALSE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Strongly disagree,7,Somewhat agree,Most of the time,Most of the time,Most of the time,About half the time,FALSE,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
Somewhat satisfied,Somewhat satisfied,Somewhat agree,9,Somewhat agree,Most of the time,About half the time,Most of the time,About half the time,FALSE,NA
Extremely satisfied,Extremely satisfied,Neither agree nor disagree,8,Strongly agree,Always,Always,Always,Never,TRUE,More than two years ago
Somewhat dissatisfied,Neither satisfied nor dissatisfied,Strongly disagree,3,Somewhat disagree,Sometimes,Sometimes,Sometimes,Never,TRUE,More than two years ago
Extremely satisfied,Extremely satisfied,Somewhat agree,10,Somewhat agree,Always,Always,About half the time,Sometimes,TRUE,More than two years ago
Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,7,Somewhat agree,Most of the time,Most of the time,Most of the time,Sometimes,TRUE,More than two years ago
